date,brand,product,current_price,original_price,discount_pct,discounted,page
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Premium Bandage Plunge Front Mini Dress",32.0,40.0,20,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Slash Neck Floral Super Soft Maxi Dress",15.3,18.0,15,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Premium Bandage Underbust Detail Mini Dress",32.0,40.0,20,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Premium Bandage Scoop Neck Mini Dress",32.0,40.0,20,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Premium Bandage Trim Detail Halter Mini Dress",32.0,40.0,20,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Premium Bandage Underbust Detail Mini Dress",36.0,40.0,10,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Premium Bandage Bandeau Mini Dress",36.0,40.0,10,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA Shop New Season boohoo Premium Bandage Lace Trim Mini Dress",32.0,40.0,20,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Premium Bandage Lace Trim Mini Dress",36.0,40.0,10,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Premium Bandage Mesh Detail Mini Dress",36.0,40.0,10,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo High Neck Bodycon Mini Dress",17.0,20.0,15,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Bengaline Seam Detail Strappy Mini Dress",18.0,20.0,10,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Bengaline Ruched Bust Dropped Waist Detail Midaxi Dress",20.0,25.0,20,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Bengaline Mesh Detail Plunge Front Mini Dress",17.6,22.0,20,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Bengaline Ruched Bust Dropped Waist Detail Midaxi Dress",21.25,25.0,15,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Bengaline High Neck Mini Dress",19.8,22.0,10,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Premium Bandage Bandeau Maxi Dress",36.0,45.0,20,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Bengaline Ruched Bust Bodycon Mini Dress",16.2,18.0,10,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Bengaline Ruched Bust Dropped Waist Midi Dress",23.4,26.0,10,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Bengaline Plunge Neck Sleeveless Shift Dress",18.0,20.0,10,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Premium Bandage High Neck Mini Dress",32.0,40.0,20,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo High Neck Button Detail Ruched Mini Dress",20.8,26.0,20,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Bengaline Sheer Hem Bandeau Bust Detail Maxi Dress",22.4,28.0,20,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA Back In Stock boohoo Off The Shoulder Mesh Maxi Dress",27.0,30.0,10,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA Plus Back In Stock boohoo Plus Pleated Skirt Skater Dress",23.8,28.0,15,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA Maternity Back In Stock boohoo Maternity Frill Sleeve Midaxi Dress",22.5,25.0,10,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Slinky Ruched Wrap Maxi Dress",27.0,30.0,10,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Floral Chiffon Skater Dress",28.8,32.0,10,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Tonal Zebra Drape Detail Mini Dress",16.2,18.0,10,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Dropped Waist Pleated Mini Dress",29.75,35.0,15,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Trim Detail T-Shirt Dress",18.7,22.0,15,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Drape Shoulder Jersey Crepe Mini Dress",22.5,25.0,10,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA boohoo Slash Neck Leopard Super Soft Maxi Dress",15.3,18.0,15,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA Plus boohoo Plus lace godet mini skater dress",24.0,30.0,20,True,1
2026-08-26,Other,"Extra 10% Off, with code: EXTRA Plus boohoo Plus Cap Sleeve Bengaline Skater Dress",21.25,25.0,15,True,1
