date,products_captured,products_discounted,pct_assortment_discounted,average_discount_pct,median_discount_pct,discounted_30pct_plus,discounted_50pct_plus
2026-08-27,1615,1539,95.3,21.3,20.0,50,34
2026-08-28,1545,1533,99.2,20.0,20.0,1,1
2026-08-29,1649,1471,89.2,22.3,20.0,105,68
2026-08-30,1556,1461,93.9,20.9,20.0,39,27
2026-08-31,1624,1462,90.0,22.1,20.0,90,58
2026-09-01,1616,1479,91.5,23.7,20.0,179,149
2026-09-02,1645,1409,85.7,22.3,20.0,113,68
2026-09-03,1656,1479,89.3,21.9,20.0,93,48
2026-09-04,1652,1455,88.1,22.1,20.0,104,61
2026-09-05,1745,1439,82.5,22.3,20.0,116,58
2026-09-06,1674,1444,86.3,22.2,20.0,99,54
2026-09-07,1502,1486,98.9,32.0,40.0,890,4
2026-09-08,1726,1440,83.4,22.6,20.0,164,50
